Date,"Close Price"
"2017-12-28 00:00:00",15173.65
"2017-12-28 01:00:00",15396.34
"2017-12-28 02:00:00",14427.08
"2017-12-28 03:00:00",14367.86
"2017-12-28 04:00:00",14345.26
"2017-12-28 05:00:00",13773.97
"2017-12-28 06:00:00",13929.83
"2017-12-28 07:00:00",14170.29
"2017-12-28 08:00:00",14184.75
"2017-12-28 09:00:00",14267.5
"2017-12-28 10:00:00",13668.35
"2017-12-28 11:00:00",13916.8
"2017-12-28 12:00:00",14084
"2017-12-28 13:00:00",14175.13
"2017-12-28 14:00:00",14285.78
"2017-12-28 15:00:00",14241.72
"2017-12-28 16:00:00",13935.05
"2017-12-28 17:00:00",14125.2
"2017-12-28 18:00:00",13498.78
"2017-12-28 19:00:00",13855.62
"2017-12-28 20:00:00",13851.84
"2017-12-28 21:00:00",13930.98
"2017-12-28 22:00:00",14066.38
"2017-12-28 23:00:00",14428.75
"2017-12-29 00:00:00",14342.14
"2017-12-29 01:00:00",14373.42
"2017-12-29 02:00:00",14951.26
"2017-12-29 03:00:00",14866.91
"2017-12-29 04:00:00",14812.4
"2017-12-29 05:00:00",14912.65
"2017-12-29 06:00:00",14906.8
"2017-12-29 07:00:00",14553.52
"2017-12-29 08:00:00",14526.8
"2017-12-29 09:00:00",14221.85
"2017-12-29 10:00:00",13997.99
"2017-12-29 11:00:00",14318.24
"2017-12-29 12:00:00",14218.62
"2017-12-29 13:00:00",14277.57
"2017-12-29 14:00:00",14471.08
"2017-12-29 15:00:00",14534.33
"2017-12-29 16:00:00",14686.3
"2017-12-29 17:00:00",14591.43
"2017-12-29 18:00:00",14578.58
"2017-12-29 19:00:00",14635.71
"2017-12-29 20:00:00",14390.62
"2017-12-29 21:00:00",14289.64
"2017-12-29 22:00:00",14502.24
"2017-12-29 23:00:00",14424.06
"2017-12-30 00:00:00",14326.78
"2017-12-30 01:00:00",13864.57
"2017-12-30 02:00:00",13692.53
"2017-12-30 03:00:00",13646.82
"2017-12-30 04:00:00",13353.59
"2017-12-30 05:00:00",13637.32
"2017-12-30 06:00:00",13615.42
"2017-12-30 07:00:00",13809.89
"2017-12-30 08:00:00",13666.29
"2017-12-30 09:00:00",13568.52
"2017-12-30 10:00:00",13440.82
"2017-12-30 11:00:00",13594.12
"2017-12-30 12:00:00",13012.4
"2017-12-30 13:00:00",12843.93
"2017-12-30 14:00:00",12841.48
"2017-12-30 15:00:00",12738.11
"2017-12-30 16:00:00",12307.71
"2017-12-30 17:00:00",12978.04
"2017-12-30 18:00:00",12812.06
"2017-12-30 19:00:00",13222.32
"2017-12-30 20:00:00",12976.81
"2017-12-30 21:00:00",12995.5
"2017-12-30 22:00:00",12970.48
"2017-12-30 23:00:00",12639.3
"2017-12-31 00:00:00",13040.55
"2017-12-31 01:00:00",13089.23
"2017-12-31 02:00:00",13295.11
"2017-12-31 03:00:00",13083.14
"2017-12-31 04:00:00",13013.31
"2017-12-31 05:00:00",12819.6
"2017-12-31 06:00:00",12706.85
